Nama Produk,Kategori,Merk,Stok,Satuan,Harga Beli (HPP),Harga Jual,SKU
Besi (II) Sulfate / Iron (II) Sulfate Heptahydrate FeSO4.7H2O PA Eceran,,26122020392,255,Gram,1000,4800,
Kjeldahl Kjeltabs SE/5 Eceran,,26122020394,995,Tablet,"5047,73",10000,
Lactose Broth Oxoid Eceran,PADATAN PRO ANALIS,42,147,Gram,4960,6000,
Timbal Acetat / Pb Acetat / Lead (II) Acetate PA Eceran,PADATAN PRO ANALIS,26122020398,318,Gram,3200,8500,
Timbal (II) Nitrat / Lead (II) Nitrate Pb(NO3)2 PA Eceran,PADATAN PRO ANALIS,26122020400,808,Gram,2045,4000,
Mac Conkey Agar MCA PA Eceran,PADATAN PRO ANALIS,26122020402,281,Gram,2440,7000,
Magnesium Chloride MgCl2 AR SL @1 L,PADATAN PRO ANALIS,A - 2025,1,Botol,948750,1720500,
Magnesium Chloride Hexahydrat MgCl2 PA Eceran,PADATAN PRO ANALIS,26122020404,736,Gram,1200,2500,
Magnesium Powder / Mg Serbuk PA Eceran,PADATAN PRO ANALIS,26122020406,106,Gram,5360,7600,
Magnesium Sulfate MgSO4 PA Eceran,PADATAN PRO ANALIS,1.05886.0500.1,197,Gram,1700,2700,
Malachite Green Oxalate Eceran,PADATAN PRO ANALIS,26122020410,27,Gram,61600,75500,
Manganese Sulfate / Mangan (II) Sulfat MnSO4 PA Eceran,PADATAN PRO ANALIS,26122020412,828,Gram,2560,5000,
Mannitol Salt Agar MSA Eceran,PADATAN PRO ANALIS,M-118,608,Gram,2100,4800,
Mercury (II) Chloride / Raksa (II) Klorida Hg(Cl)2 PA Eceran,PADATAN PRO ANALIS,26122020416,45,Gram,18400,37000,
METHYL ORANGE Eceran,PADATAN PRO ANALIS,26122020418,95,Gram,24640,43000,
Methyl Red / Metil Merah PA Eceran,PADATAN PRO ANALIS,26122020420,997,Gram,27600,70000,
Methylene Blue (CI 52015) for microscopy Eceran,PADATAN PRO ANALIS,1.15943.0025.1,79,Gram,47872,84000,
MRVP Medium / MR-VP Medium,PADATAN PRO ANALIS,MRVP,806,Gram,3250,5500,
MRS Broth Eceran,PADATAN PRO ANALIS,MRSB,28,Gram,2600,5500,
NINHYDRIN,,26122020432,1000,Gram,166320,237600,
"Czapex Dox Broth, Granulated GM076-500G",,,1,Botol,1298700,2109000,
Nutrient Broth NB Eceran,PADATAN PRO ANALIS,26122020438,154,Gram,1500,5000,
Oxalic Acid / Asam Oksalat PA Eceren,PADATAN PRO ANALIS,26122020440,15,Gram,2300,3800,
Buffered Peptone Water BPW Eceran,PADATAN PRO ANALIS,26122020442,674,Gram,1800,4300,
Phenol crystal for analysis,PADATAN PRO ANALIS,26122020444,767,Gram,800,4000,
Phenolphthalein Eceran,,26122020446,97,Gram,32690,40000,
Plate Count Agar PCA Eceran,,26122020448,181,Gram,2700,6000,
Potassium Chloride KCL PA Eceran,PADATAN PRO ANALIS,26122020450,866,Gram,400,1400,
POTASSIUM CHROMATE / KROMAT / K2CrO4 PA Eceran,,26122020452,271,Gram,6660,13000,
Potassium Dihydrogen Phosphate Merck,,M.1.04873.1000,1,!000 gr,740370,1526500,
Potassium Dihydrogen Phosphate / KH2PO4 PA Eceran,,26122020454,166,Gram,1240,2000,
POTASSIUM HEXACYANOFERATE (POTASSIUM THIOCYANATE),,26122020456,195,Gram,5460,7800,
Potassium Hydroxide Pellets Merck,,1.050.330.500,1,500gr,396270,605000,
Potassium Iodide Smartlab @500 Gram,,A-2039,4,Pack,1631700,2000000,
Potassium Iodide / Kalium Iodide / KI PA,PADATAN PRO ANALIS,A-2039-0001,940,Gram,1500,4000,
Kalium / Potassium Nitrate Merck @1000 g,,1.050.631.000,1,Botol,900210,1262000,
Potassium Nitrate / KNO3 PA Eceran,PADATAN PRO ANALIS,KNO3,505,Gram,1330,3500,
Potassium Thiocyanate / Kalium Thiocyanat KSCN PA Eceran,PADATAN PRO ANALIS,26122020466,984,Gram,1900,5000,
Potato Dextrose Agar PDA Eceran,PADATAN PRO ANALIS,26122020468,31,Gram,3000,4500,
PROPIONIC ACID,,26122020470,100,Gram,7350,10500,
Resorcinol GR Merck,,1.075.930.100,99,gram,9240,28000,
Saboraud Dextrose Broth SDB Eceran,,26122020478,415,Gram,1500,4500,
"Safranin 0,25% 100 ML",,,11,Botol,95000,122500,
Safranin O Merck,PADATAN PRO ANALIS,26122020480,2,Gram,210000,290000,
Salicylic Acid / Asam Salisilat PA,,26122020482,428,Gram,650,2000,
Silica / Silicon dioxide SiO2 PA,,26122020484,387,Gram,2000,3500,
SILVER NITRAT (AgNO3) Merck 25 gr,,1.015.120.025,4,Botol,2050170,2680000,
Silver Nitrat AgNO3 Eceran,,26122020486,10,Gram,43245,59500,
Sodium Carbonate Anhydrous SL @1 Kg,,A - 2048,3,Pack,815850,899500,
Sodium Carbonate Anhydrous Na2CO3 PA,PADATAN PRO ANALIS,26122020490,454,Gram,800,1800,
Sodium Chloride NaCl PA Eceran,PADATAN PRO ANALIS,26122020492,494,Gram,660,1000,
Sodium Dihydrogen Phosphate / NaH2PO4 PA Eceran,PADATAN PRO ANALIS,26122020494,181,Gram,1300,3000,
SODIUM DISULFITE,,26122020496,108,Gram,3500,5800,
Sodium Hydrogen Carbonate NaHCO3 Merck,,M.1.06329.1000,1,Kg,671000,1407500,
SODIUM HYDROGEN CARBONATE NaHCO3 PA ECERAN,PADATAN PRO ANALIS,26122020498,805,Gram,700,2000,
Sodium Hydroxide Pellets NaOH PA Eceran,PADATAN PRO ANALIS,NaOH,2553,Gram,185,1000,
Sodium Nitrite NaNO2 PA Eceran,PADATAN TEKNIS,26122020502,694,Gram,1500,5000,
Natrium Sulfat / Sodium Sulfate Anhydrate Na2SO4 PA,,26122020504,840,Gram,410,2000,
Sodium Sulfite Anhydrous Na2SO3 PA Eceran,,26122020506,490,Gram,1200,2500,
Sodium Thiosulphate Pentahydrate AR SL @1 Kg,,A - 2056,1,Pack,393250,610500,
Sodium Thiosulfate / Natrium Thiosulfate Na2S2O3 PA Eceran,PADATAN PRO ANALIS,26122020510,44,Gram,834,2000,
Starch Soluble MERCK 250 gr,PADATAN PRO ANALIS,1.012.520.250,101,Botol,1393050,1950000,
Starch Soluble Amylum PA Eceran,PADATAN PRO ANALIS,A-2089-1,413,Gram,2143,5000,
Strontium Chloride (SrCl2) PA Eceran,PADATAN PRO ANALIS,26122020514,326,Gram,2500,5000,
Sudan (III) C22H16N4O PA Eceran,PADATAN PRO ANALIS,26122020516,95,Gram,12600,28000,
THIOGLYCOLLATE,,26122020518,100,Gram,1,6700,
Tin (II) Chloride Dihydrate / SnCl2 AR,,26122020520,121,Gram,5294,8500,
Titanium (IV) Oxide (TiO2) MERCK 1 Kg,,1.008.081.000,1,Botol,1332000,1800000,
Titanium (IV) Oxide (TiO2) MERCK Eceran,,1.00808.1000.1,1025,Gram,1332,4000,
TITRIPLEX III / EDTA PA Eceran,,26122020524,176,Gram,1680,4800,
Trichloroacetic Acid Merck 250 gram,,M.1.00807.0250,2,Botol,1608390,2531000,
Larutan Trichloroacetic Acid TCA 80% 5 ml,LARUTAN REAGENT,,11,Botol,28000,80000,
HCL PA 6 N/M HYDROCHLORIC ACID 50 ML,,Butuh 25 ML,9,Botol,7000,45000,
TRIS HCl | Tris Hydrochloride | for Molecular Biology | HIMEDIA,,26122020530,71,Gram,4000,8000,
Tri-Sodium Citrate Dihydrate GR MERCK 1 Kg,,M.1.06448.1000,1,Botol,964590,1606000,
Tri-Sodium Citrate Dihydrate / Sodium Citrate / Natrium Sitrat PA Eceran,,26122020532,130,Gram,964,2400,
Yeast Extract Granul Merck,,1.037.530.500,1,500 gram,1705000,2589000,
YEAST EXTRACT AGAR PA Eceran,,26122020534,526,Gram,3000,5000,
ZnCl2 / Zinc Chloride / Seng Klorida PA,PADATAN PRO ANALIS,26122020536,726,Gram,350,1500,
ZINC METAL POWDER PA ECERAN,PADATAN PRO ANALIS,26122020538,16,Gram,2720,3500,
Zinc Oxide / Seng Oksida ZnO PA Eceran,PADATAN PRO ANALIS,26122020540,193,Gram,2500,4000,
NIACINAMIDE Vitamin B3 Powder @ecer,,26122020542,219,Gram,594,2000,
Agar Bacteriological / Agar Bacto Eceran,,26122020544,89,Gram,2500,5500,
Manganese (II) Chloride MnCl2 PA,PADATAN PRO ANALIS,26122020546,625,Gram,1000,2500,
Nutrient Agar Plate (NAP) Eceran,PADATAN PRO ANALIS,26122020548,990,Gram,3000,7800,
Saboraud Dextrose Agar SDA Eceran,,CM0041B-1,253,Gram,1494,5000,
Muellar Hinton Agar MHA Eceran,PADATAN PRO ANALIS,26122020554,631,Gram,3000,5500,
Media Thioglicolat,,26122020556,55,Gram,2500,6700,
Media Triple Sugar Iron Agar TSIA ECERAN,PADATAN PRO ANALIS,26122020558,178,Gram,3000,6000,
Simmons Citrat Agar Eceran,PADATAN PRO ANALIS,26122020562,401,Gram,6000,11000,
CANOLA OIL,,26122020565,1,Liter,1,111000,
CANOLA OIL,,26122020566,1,100 ml,1,23400,
COCONUT OIL,,26122020567,2,Liter,45000,75000,
COCONUT OIL,,26122020568,1524,ml,40,450,
DIMETHICONE,,26122020570,9,100 ml,1,48900,
Ethyl Acetate PA 100 ML,CAIRAN PRO ANALIS,26122020571,1,Botol,26800,57000,
Ethyl Acetate PA,CAIRAN PRO ANALIS,26122020572,7,Liter,268000,463000,
H202 3%,,26122020575,1,Liter,1,87700,
H2O2 20%,,26122020576,4,100 ml,1,8000,
Isopropanol / Isopropil Alkohol Teknis 500ml,,26122020578,18,Botol,16000,33000,
Nitric Acid 65% HNO3 PA 50 ML,CAIRAN PRO ANALIS,,79,Botol,14902,30000,
OLIVE OIL,,26122020583,4,Liter,1,297500,
OLEUM OLIVE/OLIVE OIL,,26122020584,95,100 ml,21800,60000,
PEG 400 / Polyethylene Glycol 400,,26122020585,114,Liter,57670,120000,
PEG 400,,26122020586,5,100 ml,5652,19000,
"Phosporic Acid 85% H3PO4 SL @2,5 L",,A - 1076,2,Botol,1367243,2109000,
PREMIUM COOKING OIL / KELAPA SAWIT,,26122020589,1,Liter,1,32200,
PREMIUM COOKING OIL / KELAPA SAWIT,,26122020590,1,100 ml,1,6200,
RESIN BENING + KATALIS,,26122020591,2,Liter,66000,140000,
SORBITOL 70%,,26122020593,3,Liter,40000,100000,
SORBITOL 70%,,26122020594,24,100 ml,4000,15000,
SOYA OIL / MINYAK KEDELAI,,26122020595,1,Liter,1,100000,
SOYA OIL,,26122020596,10,100 ml,1,15000,
SPAN 20,,26122020597,1,Liter,1,455500,
SPAN 20,,26122020598,99,100 ml,54660,91100,
SPAN 60,,26122020599,1,Liter,1,638500,
SPAN 60,,26122020600,1,100 ml,1,128000,
SPAN 80,,26122020601,5,Liter,186000,396500,
SPAN 80 100 ml,,26122020602,98,Botol,18600,75000,
SPIRITUS,,26122020603,12,Liter,1,29500,
SPIRITUS 500ML,,26122020604,49,Botol,1,18000,
SUNFLOWER OIL,,26122020605,1,Liter,1,116600,
SUNFLOWER OIL,,26122020606,4,100 ml,1,23500,
Triethanolamine / Trietanolamin / TEA / C6H15NO3,CAIRAN TEKNIS,26122020607,2,Liter,97600,165000,
Triethanolamine / Trietanolamin / TEA / C6H15NO3 100 ml,CAIRAN TEKNIS,26122020608,5,Botol,9760,47000,
TOLUENE Teknis,,26122020609,6,Liter,32500,75000,
TOLUENE Teknis 100 ml,CAIRAN TEKNIS,26122020610,3,Botol,2025,12000,
Triethanolamine / Trietanolamin / TEA / C6H15NO3,CAIRAN TEKNIS,26122020611,315,ml,97,400,
Fragrance Vanila grade A,,,87,ml,600,1500,
Tween 80 PA 100 ml,CAIRAN PRO ANALIS,,1,Botol,158100,275000,
Polysorbate 80 / TWEEN 80,,26122020615,2,Liter,98600,138000,
TWEEN 80 500ML,,26122020616,3,Botol,49000,71000,
WASH BENSIN,,26122020617,1,Liter,1,70000,
WASH BENSIN,,26122020618,1,100 ml,1,14000,
XYLENE TEKNIS ECERAN,CAIRAN TEKNIS,26122020620,10000,ml,25,300,
METHANOL TEKNIS,CAIRAN TEKNIS,26122020621,23,Liter,8000,26000,
METHANOL TEKNIS 100 ml,CAIRAN TEKNIS,26122020622,94,Botol,800,5000,
Alkohol 70%,CAIRAN TEKNIS,26122020625,228,Liter,13000,31000,
ALKOHOL 70% 500ML,,26122020626,72,Botol,9000,16000,
ACETONE TEKNIS,CAIRAN TEKNIS,26122020627,82,Liter,50000,72000,
ACETONE TEKNIS ECERAN,CAIRAN TEKNIS,26122020628,460,ml,50,500,
ETHYL ACETATE TEKNIS @1 ltr,CAIRAN TEKNIS,26122020629,7,Liter,35000,53000,
ETHYL ACETATE TEKNIS @100 ml,CAIRAN TEKNIS,26122020630,9996,Botol,3040,15000,
H2SO4 TEKNIS 98%,,26122020631,18,Liter,3000,55000,
HCL Teknis 37%,CAIRAN TEKNIS,26122020633,7,Liter,12833,55000,
HCL Teknis 37 % 100ML,CAIRAN TEKNIS,26122020634,84,Botol,1300,12000,
NITRIC ACID TEKNIS,CAIRAN TEKNIS,26122020635,68,Liter,12000,50000,
Nitric Acid HNO3 100 ml,CAIRAN TEKNIS,26122020636,989,Botol,1200,12000,
Isopropanol / Isopropil Alkohol Teknis,,26122020637,30,Liter,25000,65000,
H2O2 Teknis / Hydrogen Peroxide 50% 500 ML,CAIRAN TEKNIS,26122020642,9,Botol,7000,25000,
Asam asetat Teknis / Acetic Acid CH3COOH,CAIRAN TEKNIS,26122020643,6,Liter,18000,65000,
Asam asetat Teknis / Acetic Acid CH3COOH 500ML,CAIRAN TEKNIS,26122020644,33,500 ml,9000,32200,
Glyserol / Gliserol / Gliserin PA,CAIRAN PRO ANALIS,26122020645,508,ml,500,2000,
Glyserol / Gliserol / Gliserin Teknis Eceran,CAIRAN TEKNIS,26122020646,302,ml,60,400,
N - Hexane Teknis,CAIRAN TEKNIS,26122020649,14,Liter,16500,54000,
N - Hexane Teknis 100 ml,CAIRAN TEKNIS,26122020650,41,Botol,1650,8000,
ANTI FOAM 250 ML,,,48,Botol,1,42200,
ANTI FOAM ECERAN,CAIRAN TEKNIS,26122020652,9870,ml,1,1500,
"BUFFER CITRATE PH 4,5 250 ML",,26122020667,5,Botol,1,128000,
"BUFFER CITRATE PH 4,5 500 ML",,26122020668,5,500 ml,1,233100,
"BUFFER CITRATE PH 4,5",,26122020669,5,Liter,1,422000,
Buffer Citrate pH 4-7 100 ML,CAIRAN REAGEN,26122020670,3,100 ml,23000,50000,
Buffer pH Solution Custom 100 ml,,26122020673,3,Botol,5000,35000,
Buffer pH Solution pH > 10 100 ML,,26122020688,8,100 ml,15000,45000,
"CITRIC ACID 0,1 M",,26122020693,50,Liter,1,28000,
"CITRIC ACID 0,1 M 100 ML",,26122020694,9,Botol,1,28000,
CORN OIL / MINYAK JAGUNG,,26122020699,5,Liter,47000,72200,
CORN OIL / MINYAK JAGUNG ECERAN,,26122020700,1900,ml,120,360,
DIMETHICONE 50 ML,,26122020704,17,ml,20000,27000,
GLUKOSA 1 M,,26122020705,1,Liter,1,210000,
GLUKOSA 1 M,,26122020706,1,100 ml,1,30000,
H202 3 %,,26122020708,1,100 ml,1,8000,
H2SO4 1 N,,26122020710,1,100 ml,1,22000,
"HCL 0,1 %",,26122020712,1,100ml,1,6000,
"HCL 0,1 N",,26122020713,89,Liter,20000,65000,
"HCL 0,1 N/M 100 mL",,26122020714,86,Botol,2500,10000,
HCL 2 M,,166 ml,92,Liter,6000,50000,
HCL 2M 100 ML,,26122020718,96,Botol,18000,39000,
Isopropil Myristate / IPM,,26122020719,1,Liter,145000,205000,
Isopropil Myristate / IPM,,26122020720,460,ml,145,400,
Lactic Acid 88% / Asam Laktat FG,,26122020721,4,Liter,60000,125000,
Lactic Acid 88% / Asam Laktat FG 100 ML,,26122020722,11,Botol,6000,18000,
MINYAK IKAN - Oleum Iecoris Aselli,,26122020726,1,ml,735,900,
MINYAK WIJEN,,26122020729,4,Liter,1,289000,
"NaCL 0,9% Teknis",,26122020737,2,Liter,3500,15000,
"NaCL 0,9% 100ML",,26122020738,6,100 ml,1500,7000,
NaCL 36% (Jenuh) 100 ml,,26122020742,5,Botol,2500,12000,
"Na2HPO4 0,2 M 100 ml",,26122020746,10,Botol,8000,22000,
NaOH 1 N,,40 gram,25,Liter,5000,30000,
NaOH 1N/M 100ML,,26122020750,26,Botol,4000,15000,
"NaOH 3,5 %",,26122020751,11,Liter,6000,22000,
NaOH 80%,,26122020752,12,Liter,25000,60000,
CASTOR OIL,CAIRAN TEKNIS,26122020755,5,Liter,67420,101500,
CASTOR OIL,CAIRAN TEKNIS,26122020756,555,ml,1,250,
OLEIC ACID,,26122020757,1,Liter,1,125000,
OLEIC ACID,,26122020758,385,ml,195,400,
Borges Extra Virgin / Olive Oil / Minyak Zaitun,,26122020760,790,ml,218,850,
PARAFIN LIQUID,,26122020761,1,Liter,34000,58000,
PARAFIN LIQUID Eceran,,26122020762,725,ml,38,250,
Sodium Hypochloride / Chlorine 12% NaOCl Teknis,,26122020775,34,Liter,5600,25000,
Sodium Hypochloride / Chlorine 12% NaOCl Teknis ECERAN,,26122020776,500,ml,15,100,
TOLUENE PA / AR SmartLab @4 L,CAIRAN PRO ANALIS,A-1075,2,Botol,782550,980000,
TOLUENE TEKNIS,,26122020792,1820,ml,20,200,
Tween 80 / Polysorbate 80 100 ML,CAIRAN TEKNIS,26122020795,87,Botol,13000,24000,
XYLENE TEKNIS,CAIRAN TEKNIS,26122020799,46,Liter,36000,75000,
XYLENE PA 100 ML,CAIRAN PRO ANALIS,26122020800,10,Botol,20000,60000,
Reagen Dragendorf Eceran,CAIRAN REAGEN,26122020802,345,ml,1300,2000,
Reagen Barfoed,,26122020803,1,500 ml,501288,655000,
Reagen Barfoed eceran,,26122020804,436,ml,1003,2500,
FEHLING A @100ml,,26122020805,5,100ml,20000,41500,
FEHLING A,,26122020806,100,ml,200,700,
FEHLING B @100 ml,,26122020807,4,100ml,32000,119900,
FEHLING B,,26122020808,200,ml,320,2300,
CRYSTAL VIOLET 2% 100 ML,,26122020809,8,Botol,102900,143000,
Crystal Violet Eceran,,Crystal Violet 2%,180,ml,212,1600,
NELSON A,,26122020811,2,Liter,1,1776000,
NELSON A ECERAN,,26122020812,832,ml,800,1800,
NELSON B,,26122020813,2,Liter,1,1054500,
NELSON B ECERAN,,26122020814,1365,ml,500,1500,
Turk,,26122020816,445,ml,70,500,
BENEDICT,,26122020817,5,Liter,884000,1276500,
Reagen Benedict,,26122020818,310,ml,884,1500,
Indikator PP Eceran,,26122020819,397,ml,326,1200,
Indikator PP 100 ml,,26122020820,5,Botol,32600,69000,
BIURET,,26122020821,10,Liter,180000,220000,
BIURET,,26122020822,25,ml,250,500,
Laboratory Botol SCHOTT DURAN 1000 ml,,D.218015455,5,Pcs,103785,134000,
LUGOL 1 % 100 mL,,26122020827,23,100 ml,20000,44000,
Lugol's Solution,,26122020828,393,ml,200,500,
Indikator Methyl Red,LARUTAN REAGENT,26122020829,424,ml,54,500,
Methyl Orange,LARUTAN REAGENT,26122020831,100,Liter,1,353000,
Reagen Meyer Eceran,,26122020834,461,ml,920,3000,
Reagen Wagner Eceran,,26122020836,1,ml,1459,2500,
Propylene Glycol / Propilen Glikol FG Eceran,,26122020838,227,ml,62,400,
Bromthymol Blue BTB Eceran,,26122020839,65,ml,1000,1800,
LUFF SCHROLL @50ml,,26122020841,1,50ml,1,80000,
LUFF SCHROLL @100ml,,26122020842,1,100ml,1,147600,
"Safranin 0,25%",LARUTAN REAGENT,26122020843,2,Liter,789000,905000,
"Safranin 0,25%",LARUTAN REAGENT,26122020844,324,ml,78,1000,
PBS (Phosphate Buffered Saline) PA 100 ML,,26122020846,95,Botol,16000,50000,
Chloroform Smartlab 1 Ltr,CAIRAN PRO ANALIS,A-1022-1000,10,Botol,150613,385000,
Chloroform PA Eceran,CAIRAN PRO ANALIS,A-1022-0001,942,ml,151,800,
ETHANOL PA MERCK,CAIRAN PRO ANALIS,26122020849,28,Liter,274000,420000,
Ethanol PA SL Eceran,CAIRAN PRO ANALIS,26122020850,402,ml,135,800,
Ethyl Acetate PA SL Eceran,CAIRAN PRO ANALIS,26122020852,101,ml,268,1000,
Methanol PA,CAIRAN PRO ANALIS,A-1056-1000,2,Liter,64935,134000,
Methanol PA 100 ml,,A-1056-0100,48,Botol,6494,20000,
N-Hexane PA,CAIRAN PRO ANALIS,A-1045-1000,1,Liter,225300,385000,
N-Hexane PA SL eceran,CAIRAN PRO ANALIS,A-1045-0001,744,ml,225,1200,
"Acetic Acid Glacial AR SL @2,5 L",CAIRAN PRO ANALIS,A-1001,5,Botol,418470,615000,
Acetic Acid Glacial CH3COOH AR Eceran,CAIRAN PRO ANALIS,A-1001-0001,363,ml,169,600,
Butanol PA,CAIRAN PRO ANALIS,26122020859,8,Liter,305750,472000,
Butanol PA SL Eceran,CAIRAN PRO ANALIS,26122020860,683,ml,306,1500,
Petroleum Ether PA,CAIRAN PRO ANALIS,26122020861,3,Liter,150000,250000,
Petroleum Ether PA Eceran,CAIRAN PRO ANALIS,26122020862,985,ml,150,1000,
XYLENE PA,CAIRAN PRO ANALIS,26122020863,7,Liter,147000,280000,
XYLENE PA ECERAN,CAIRAN PRO ANALIS,26122020864,950,ml,200,1000,
Acetonitrile Gradient Grade for Liquid Merck 1000 ml,CAIRAN PRO ANALIS,1.000.301.000,9,Botol,1440114,2398000,
Acetonitril HPLC Eceran,CAIRAN PRO ANALIS,26122020866,4792,ml,450,2000,
Nitric Acid 65% HNO3 PA,CAIRAN PRO ANALIS,26122020867,1,Liter,300000,510000,
Nitric Acid 65% HNO3 PA Eceran,CAIRAN PRO ANALIS,26122020868,600,ml,305,1000,
H2O2 PA / Hydrogen Peroxide Soln 30% Eceran,CAIRAN PRO ANALIS,A-1052-1,345,ml,577,1500,
DICHLOROMETHANE PA,CAIRAN PRO ANALIS,26122020871,7,Liter,300000,415000,
DICHLOROMETHANE PA ECERAN,CAIRAN PRO ANALIS,26122020872,642,ml,300,1300,
Diethyl Ether AR SMARTLAB @4 L,CAIRAN PRO ANALIS,A-1033,14,Botol,"1394437,5",1804000,
"Hydrochloric Acid 37% (HCL) SmartLab @2,5 L",CAIRAN PRO ANALIS,A-1050,13,Botol,674325,988000,
Sulphuric Acid 95-97% / H2SO4 PA 500 ML,CAIRAN PRO ANALIS,,1,Botol,123500,235000,
Sulphuric Acid 98% / H2SO4 PA 50 ML,CAIRAN PRO ANALIS,26122020880,53,Botol,13350,55000,
Ammonia Teknis,CAIRAN PRO ANALIS,26122020885,73,Liter,12000,55000,
Ammonia PA 25% / Amonium Hidroksida NH3 / NH4OH Eceran,CAIRAN PRO ANALIS,26122020886,344,ml,182,800,
H2SO4 TEKNIS 100 ML,,26122020896,89,Botol,300,10000,
ISOPROPYL ALCOHOL TEKNIS,,26122020900,91,100 ml,2500,12000,
Formalin 40%,CAIRAN TEKNIS,26122020905,286,Liter,17500,70000,
Formalin 40% 500 ml,,26122020906,3,Botol,8750,39000,
Formalin 10%,CAIRAN TEKNIS,26122020907,905,Liter,17000,60000,
Formalin 10% 250 ml,,26122020908,97,Botol,4000,20000,
GLISERIN TEKNIS,CAIRAN TEKNIS,26122020913,3,Liter,60000,75000,
Glycerol Smartlab Eceran,CAIRAN PRO ANALIS,26122020914,947,ml,591,1800,
PBS (Phosphate Buffered Saline),,26122020915,75,Liter,83000,114000,
Methanol PA Eceran,CAIRAN PRO ANALIS,A-1056-0001,362,ml,6,500,
Erlenmayer IWAKI 2000 ml,,26122020919,1,Pcs,190000,283500,
Erlenmayer IWAKI 500 ml,,26122020920,2,Pcs,65454,108000,
Erlenmayer IWAKI 200 ml,,26122020921,19,Pcs,37432,68000,
Erlenmayer IWAKI 50 ml,,26122020923,4,Pcs,45800,65000,
Erlenmayer HERMA 1000 ml,,H.11211000,3,Pcs,73000,105000,
Erlenmayer HERMA 500 ml,,26122020925,7,Pcs,42200,58500,
Erlenmayer HERMA 250 ml,GLASSWARE,H.81121-250,1,Pcs,33300,44000,
Erlenmayer HERMA 100 ml,,H.11210100,1,Pcs,16700,32000,
Erlenmeyer HERMA 50 ml,,H.81121-50,6,Pcs,16983,22000,
Erlenmayer PYREX 1000 ml,,26122020929,1,Pcs,75000,97000,
Erlenmeyer PYREX 500 ml,,26122020930,3,Pcs,45000,58000,
Erlenmeyer PYREX 125 ml,,26122020931,4,Pcs,40000,65000,
Erlenmeyer PYREX 100 ml,,26122020932,15,Pcs,25000,31000,
Erlenmeyer PYREX 50 ml,,26122020933,60,Pcs,20000,30000,
Erlenmayer DURAN 1000 ml,,26122020934,8,Pcs,62000,120000,
Erlenmayer DURAN 500 ml,,D.212164404,5,Pcs,40200,78000,
Erlenmeyer DURAN 250 ml,,D.212163605,1,Pcs,34500,68000,
Erlenmeyer DURAN 100 ml,,D.212162403,1,Pcs,42600,54000,
Erlenmayer DURAN 100 ml ASA 24 + Tutup,,26122020939,1,Pcs,50000,97500,
Beaker Glass IWAKI 250 ml,,I.1000BK250,5,Pcs,42750,57000,
Beaker Glass HERMA 1000 ml,,H.81101-1000,1,Pcs,54834,78000,
Beaker Glass HERMA 500 ml,,H.81101-500,2,Pcs,31191,51000,
Beaker Glass HERMA 250 ml,,H.81101-250,3,Pcs,18315,29000,
Beaker Glass HERMA 100 ml,,H.81101-100,3,Pcs,15873,27000,
Beaker Glass HERMA 50 ml,,H.81101-50,2,Pcs,14874,25000,
Beaker Glass PYREX 1000 ml,,26122020949,3,Pcs,55000,74000,
Beaker Glass PYREX 100 ml,,26122020950,1,Pcs,20000,24000,
Beaker Glass PYREX 50 ml,,26122020951,1,Pcs,16000,21000,
Beaker Glass DURAN 100 ml,,D.211062402,9,Pcs,32000,53500,
Beaker Glass DURAN 50 ml,,D.211061706,8,Pcs,30000,50000,
Beaker Glass DURAN 10 ml,,D.211060804,5,Pcs,44800,62000,
Gelas Ukur HERMA 100 ml,,H.81601-100,4,Pcs,41958,71000,
Gelas Ukur HERMA 50 ml,,H.81601-50,15,Pcs,35631,44000,
Gelas Ukur HERMA 25 ml,,H.81601-25,5,Pcs,31746,38000,
Gelas Ukur HERMA 10 ml,,H.81601-10,1,Pcs,20800,32000,
Gelas Ukur HERMA 5 ml,,H.81601-5,3,Pcs,23310,33000,
Gelas Ukur PYREX 250 ml,,26122020962,4,Pcs,55000,94000,
Gelas Ukur PYREX 100 ml,,26122020963,7,Pcs,45000,71000,
Gelas Ukur PYREX 50 ml,,26122020964,1,Pcs,38000,48000,
Gelas Ukur PYREX 25 ml,,26122020965,1,Pcs,30000,38000,
Gelas Ukur PYREX 10 ml,,26122020966,1,Pcs,28000,34000,
Gelas Ukur PYREX 5 ml,,26122020967,5,Pcs,25000,33000,
Gelas Ukur DURAN 50 ml,,26122020968,2,Pcs,67000,96500,
Gelas Ukur DURAN 25 ml,,D.213961403,4,Pcs,63000,88500,
Gelas Ukur DURAN 20 ml,,26122020970,1,Pcs,68000,102000,
Gelas Ukur DURAN 10 ml,,D.213900804,3,Pcs,109557,148000,
Gelas Ukur BOROSIL 100 ml,,26122020972,5,Pcs,145000,205500,
Gelas Ukur BOROSIL 25 ml,,26122020973,5,Pcs,105000,150000,
Labu Ukur Tutup Kaca HERMA 1000 ml,,26122020974,2,Pcs,124542,232000,
Labu Ukur Tutup Kaca HERMA 500 ml,,26122020975,1,Pcs,65500,108000,
Labu Ukur Tutup Kaca HERMA 250 ml,,26122020976,3,Pcs,49300,100000,
Labu Ukur Tutup Kaca HERMA 100 ml,,26122020977,1,Pcs,46509,62000,
Labu Ukur Tutup Kaca HERMA 50 ml,,26122020978,2,Pcs,36400,50000,
